T,TM,Tm,SLP,H,W,V,VM,PM 2.5

18.6,25.6,13.8,1011.9,67.0,1.6,7.2,11.1,284.7958333333333

16.3,23.2,11.2,1014.5,70.0,1.9,12.6,25.9,219.72083333333333

13.8,21.0,9.0,1016.4,58.0,2.6,6.9,11.1,182.1875

nan,nan,nan,nan,nan,nan,nan,nan,115.28749999999998

nan,nan,nan,nan,nan,nan,nan,nan,0.0

nan,nan,nan,nan,nan,nan,nan,nan,12.379166666666668

12.5,19.1,5.9,1018.1,51.0,3.4,8.1,11.1,154.03750000000002

12.7,21.6,5.2,1018.4,46.0,3.2,9.6,22.2,223.20833333333331

15.1,25.3,5.6,1017.3,46.0,3.7,5.6,9.4,200.64583333333337

nan,nan,nan,nan,nan,nan,nan,nan,154.875

nan,nan,nan,nan,nan,nan,nan,nan,129.38749999999996

nan,nan,nan,nan,nan,nan,nan,nan,224.2458333333333

20.3,28.8,13.4,1013.4,57.0,4.0,9.1,22.2,285.225

20.3,28.7,13.2,1013.4,63.0,3.7,5.6,11.1,236.825

20.6,29.9,13.4,1013.8,61.0,3.5,5.0,16.5,276.90833333333336

nan,nan,nan,nan,nan,nan,nan,nan,245.65

nan,nan,nan,nan,nan,nan,nan,nan,218.6708333333333

nan,nan,nan,nan,nan,nan,nan,nan,47.82500000000001

14.2,20.7,8.8,1019.9,59.0,3.7,10.2,18.3,108.0

13.6,19.7,7.9,1019.6,58.0,3.2,10.6,16.5,107.625

13.7,21.2,4.0,1019.9,46.0,3.7,8.5,14.8,125.89166666666668

nan,nan,nan,nan,nan,nan,nan,nan,179.3083333333333

nan,nan,nan,nan,nan,nan,nan,nan,239.85

nan,nan,nan,nan,nan,nan,nan,nan,220.1916666666667

15.6,22.5,9.4,1018.9,49.0,2.9,7.6,13,181.01250000000005

15.6,23.3,8.4,1018.8,55.0,3.2,6.5,11.1,152.55416666666667

15.2,23.2,8.4,1018.6,47.0,3.7,6.3,9.4,152.32083333333335

nan,nan,nan,nan,nan,nan,nan,nan,171.42916666666665

nan,nan,nan,nan,nan,nan,nan,nan,251.375

nan,nan,nan,nan,nan,nan,nan,nan,251.82916666666668

18.9,24.8,12.5,1016.5,50.0,3.5,4.8,7.6,319.7375

20.4,28.2,13.5,1015.9,52.0,3.5,6.1,13,332.7083333333333

20.8,29.7,13.0,1014.7,53.0,3.5,9.4,16.5,279.6

20.9,27.9,13.2,1013.9,52.0,3.5,7.2,11.1,179.11666666666667

nan,nan,nan,nan,nan,nan,nan,nan,166.29999999999998

nan,nan,nan,nan,nan,nan,nan,nan,78.25416666666666

nan,nan,nan,nan,nan,nan,nan,nan,54.958333333333336

16.7,22.3,12.6,1016.6,70.0,3.1,12.4,20.6,54.79166666666666

15.6,22.0,9.8,1016.5,62.0,3.5,9.3,14.8,93.375

17.1,24.2,9.0,1015.6,52.0,3.7,7.0,14.8,103.0

nan,nan,nan,nan,nan,nan,nan,nan,211.125

nan,nan,nan,nan,nan,nan,nan,nan,192.29166666666663

nan,nan,nan,nan,nan,nan,nan,nan,152.0

21.6,28.9,15.2,1013.6,70.0,2.9,6.3,14.8,132.20833333333334

19.3,25.2,15.4,1013.2,77.0,2.1,10.4,18.3,127.70833333333331

19.3,24.4,16.0,1011.1,77.0,2.7,11.5,18.3,109.33333333333331

nan,nan,nan,nan,nan,nan,nan,nan,0.0

nan,nan,nan,nan,nan,nan,nan,nan,0.0

nan,nan,nan,nan,nan,nan,nan,nan,0.0

18.8,27.3,10.0,1014.0,56.0,3.5,7.2,14.8,56.458333333333336

18.9,26.0,11.1,1015.6,53.0,3.7,5.6,11.1,135.83333333333334

20.9,27.9,12.2,1014.8,51.0,3.7,9.3,16.5,122.5

nan,nan,nan,nan,nan,nan,nan,nan,119.33333333333331

nan,nan,nan,nan,nan,nan,nan,nan,67.125

nan,nan,nan,nan,nan,nan,nan,nan,46.708333333333336

20.7,28.0,12.0,1016.3,51.0,3.7,3.3,7.6,69.66666666666667

24.0,32.5,15.5,1013.3,42.0,3.7,12.2,22.2,79.83333333333333

24.6,32.7,17.6,1013.6,41.0,3.7,9.3,20.6,62.708333333333336

nan,nan,nan,nan,nan,nan,nan,nan,81.04166666666667

20.0,28.8,13.7,1016.8,40.0,3.7,11.1,14.8,21.20833333333333

21.2,31.1,10.0,1016.5,35.0,4.0,6.1,9.4,1.9166666666666667

22.8,32.4,12.8,1015.6,29.0,4.0,7.0,14.8,1.8333333333333333

nan,nan,nan,nan,nan,nan,nan,nan,1.7916666666666667

nan,nan,nan,nan,nan,nan,nan,nan,31.625

nan,nan,nan,nan,nan,nan,nan,nan,112.08333333333331

23.9,32.7,13.4,1015.0,34.0,4.8,3.7,11.1,105.83333333333331

25.8,33.9,16.4,1013.9,29.0,4.0,10.2,27.8,117.58333333333331

26.0,35.1,15.8,1010.7,34.0,4.5,11.1,22.2,122.70833333333331

nan,nan,nan,nan,nan,nan,nan,nan,76.54166666666667

nan,nan,nan,nan,nan,nan,nan,nan,159.08333333333334

nan,nan,nan,nan,nan,nan,nan,nan,147.95833333333334

27.0,35.1,17.1,1009.4,32.0,3.7,10.0,18.3,111.95833333333331

25.8,34.3,18.4,1011.1,36.0,3.7,10.7,14.8,59.208333333333336

25.1,31.8,19.6,1013.3,48.0,4.0,13.1,18.3,77.20833333333333

nan,nan,nan,nan,nan,nan,nan,nan,87.83333333333333

nan,nan,nan,nan,nan,nan,nan,nan,90.04166666666667

nan,nan,nan,nan,nan,nan,nan,nan,63.91666666666666

26.0,34.3,17.5,1009.3,34.0,4.0,6.7,14.8,98.70833333333331

27.0,35.4,19.8,1009.6,47.0,4.0,11.3,18.3,123.70833333333331

26.4,34.8,18.3,1008.4,36.0,3.7,7.8,14.8,64.79166666666667

nan,nan,nan,nan,nan,nan,nan,nan,62.875

nan,nan,nan,nan,nan,nan,nan,nan,88.375

nan,nan,nan,nan,nan,nan,nan,nan,77.66666666666667

28.4,36.3,20.2,1008.0,32.0,3.7,12.8,22.2,52.333333333333336

28.1,35.8,20.2,1007.5,29.0,4.0,10.7,22.2,52.04166666666666

29.3,36.3,21.9,1007.0,32.0,4.0,6.7,14.8,128.33333333333334

nan,nan,nan,nan,nan,nan,nan,nan,87.58333333333333

nan,nan,nan,nan,nan,nan,nan,nan,2.9166666666666665

nan,nan,nan,nan,nan,nan,nan,nan,0.0

27.2,35.1,21.4,1008.0,35.0,4.0,10.2,14.8,0.0

29.7,37.2,21.0,1007.2,28.0,3.7,7.2,14.8,23.20833333333333

